index,ninety_percentile,geoid
1383,57.93,21201
1384,104.96,47095
1385,63.71,20139
1386,55.98,48333
1387,60.35,48359
1388,67.44,42019
1389,60.91,20115
1390,49.05,51029
1391,57.6,37025
1392,54.01,29225
1393,62.17,27033
1394,48.73,12093
1395,53.0,13291
1396,52.38,48403
1397,40.85,39131
1398,50.05,01131
1399,45.43,28097
1400,54.01,31099
1401,33.82,31087
1402,45.6,16081
1403,47.6,51073
1404,50.84,05133
1405,53.32,18017
1406,62.26,16077
1407,48.66,56043
1408,46.68,37029
1409,58.3,05069
1410,52.77,05079
1411,48.7,55123
1412,35.61,48223
1413,33.9,48225
1414,49.14,39111
1415,50.65,20165
1416,54.75,18107
1417,37.08,20187
1418,51.74,21129
1419,55.82,27071
1420,61.47,27165
1421,58.6,22053
1422,27.02,46119
1423,63.73,40029
1424,56.79,30011
1425,54.43,48461
1426,53.64,31105
1427,61.18,17093
1428,40.35,08085
1429,28.74,08037
1430,43.22,12109
1431,46.1,28019
1432,55.76,29079
1433,52.17,26085
1434,52.35,17059
1435,56.52,45047
1436,60.56,20059
1437,72.19,27027
1438,55.33,47075
1439,47.79,28139
1440,34.78,54035
1441,58.12,16039
1442,70.52,38005
1443,49.93,29163
1444,150.24,29201
1445,46.36,39001
1446,49.8,48143
1447,55.08,13137
1448,64.78,13319
1449,47.25,39033
1450,50.82,12027
1451,62.35,26015
1452,54.04,29209
1453,64.94,37169
1454,60.45,19039
1455,52.44,19065
1456,60.98,19181
1457,59.16,39161
1458,49.31,12043
1459,51.96,13199
1460,40.49,08023
1461,59.13,48099
1462,57.49,19001
1463,56.09,13053
1464,47.0,29089
1465,61.05,39129
1466,50.42,51145
1467,107.66,08014
1468,52.44,26009
1469,52.28,45069
1470,38.3,17103
1471,47.02,31127
1472,62.79,20149
1473,60.26,26075
1474,65.09,48091
1475,51.03,25019
1476,55.9,45009
1477,56.99,48007
1478,50.1,13019
1479,61.76,18165
1480,52.79,26143
1481,40.3,37005
1482,155.15,06035
1483,49.63,51610
1484,21.81,39119
1485,50.38,08015
1486,65.48,08025
1487,50.37,28109
1488,53.0,28111
1489,54.02,31041
1490,46.2,12013
1491,59.29,21117
